num_economico,maquina,tipo_unidad,marca,modelo,placas,num_serie,procedencia,estatus,ubicacion,responsable,tramo,segmento,capacidad,metrica,lectura_actual,fecha_alta,tipo_combustible,revisar
EHO-336-083,EXCAVADORA HIDRAULICA,maquinaria_pesada,CATERPILLAR,336,,CAT00336TMZR30688,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,2.4MÂ³,horometro,5.6,2026-06-12,,
EHO-336-084,EXCAVADORA HIDRAULICA,maquinaria_pesada,CATERPILLAR,336,,CAT00336AMZR30702,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,2.4MÂ³,horometro,5.6,2026-06-12,,
CAD-815-029,TRACTOR COMPACTADOR,maquinaria_pesada,CATERPILLAR,815,,CAT00815CM5C00246,PROPIO,INACTIVA,TALLER MADISA NUEVO LAREDO,ANTONIO PONCE,2,S19-03,,horometro,10.0,2026-03-25,,
TRO-D8T-002,TRACTOR TOPADOR (BULLDOZER),maquinaria_pesada,CATERPILLAR,D8,,J8B02868,PROPIO,INACTIVA,346+300,PAZ HERNANDEZ,1,S19-02,11.8MÂ³,horometro,11840.6,2026-04-08,,
TRO-D8-015,TRACTOR TOPADOR (BULLDOZER),maquinaria_pesada,CATERPILLAR,D8,,0AE800486,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,11.8MÂ³,horometro,4659.8,2025-11-07,,
TRO-D6T-007,TRACTOR TOPADOR (BULLDOZER),maquinaria_pesada,CATERPILLAR,D6,,SMC02144,PROPIO,ACTIVA,351+340,ANTONIO PONCE,2,S19-03,7.8MÂ³,horometro,3963.6,2025-12-18,,
TRO-D6T-016,TRACTOR TOPADOR (BULLDOZER),maquinaria_pesada,CATERPILLAR,D6,,TXD25810,PROPIO,ACTIVA,346+300,PAZ HERNANDEZ,1,S19-02,7.8MÂ³,horometro,3013.8,2026-06-09,,
COL-25-014,CAMION ORQUESTA PARA SUMINISTRO DE COMBUSTIBLE,marimba,LORESA/FREIGHTLINER,2025,CV-4156-H,3R9C51212SA182159/1FUBGDDRX9LAK7976,PROPIO,ACTIVA,ALMACEN ANAHUAC,MIRIAM ZAMBRANO,1,S19-02,3000LT,kilometraje,,2025-11-07,,DUPLICADA en catalogo de vehiculos (CAMION P/ MARIMBA CV-4156-H)
CPL-23-001,CAMION CON PLATAFORMA Y GRUA HIDRAULICA,sin_clasificar,FREIGHTLINER,2023,38-BB-8V,3R9CH1215PA10182283,PROPIO,ACTIVA,ALMACEN ANAHUAC,MIRIAM ZAMBRANO,1,S19-02,15TON,kilometraje,,2026-02-09,,No encaja en las 4 categorias de la app
RHN-416-042,RETROEXCAVADORA,maquinaria_pesada,CATERPILLAR,416,,CAD00416VL9P09767,PROPIO,ACTIVA,351+340,ANTONIO PONCE,2,S19-03,0.76MÂ³,horometro,2595.7,2026-02-09,,
RHN-416-054,RETROEXCAVADORA,maquinaria_pesada,CATERPILLAR,416,,CAT00416KL9P14950,PROPIO,ACTIVA,ALMACEN ANAHUAC,RAFAEL ARGUELLES,1,S19-02,0.76MÂ³,horometro,26.4,2026-06-11,,
RHN-416-057,RETROEXCAVADORA,maquinaria_pesada,CATERPILLAR,416,,CAT00416JL9P14626,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANTONIO AVILA,1,S19-02,0.76MÂ³,horometro,7.2,2026-06-11,,
CFN-950-017,CARGADOR FRONTAL,maquinaria_pesada,CATERPILLAR,950,,CAT00950KRM700250,PROPIO,INACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,3.9MÂ³,horometro,2367.5,2026-04-11,,Estatus contradictorio entre columnas del Excel
CFN-966-012,CARGADOR FRONTAL,maquinaria_pesada,CATERPILLAR,966GC,,CAT00966HSGW00844,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,4.5MÂ³,horometro,5718.3,2026-04-22,,
CFN-950-013,CARGADOR FRONTAL,maquinaria_pesada,CATERPILLAR,950GC,,M5K05424,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,3.9,horometro,8208.9,2026-05-08,,
CAS-200-012,VIBROCOMPACTADOR,maquinaria_pesada,SANY,SSR200C-8H,,YZ1520CC1545,PROPIO,ACTIVA,346+300,PAZ HERNANDEZ,1,S19-02,20TON,horometro,5878.3,2026-02-21,,
